2009-03-24 10:52:59 Notice: Notice (8): Undefined variable: bank_id in [APP/plugins/administrate/controllers/banks_controller.php, line 17]
2009-03-24 10:52:59 Notice: Notice (8): Undefined variable: bank_id in [APP/plugins/administrate/controllers/banks_controller.php, line 22]
2009-03-24 10:54:15 Notice: Notice (8): Undefined variable: atim_menu in [APP/views/layouts/default.ctp, line 13]
2009-03-24 10:54:15 Notice: Notice (8): Undefined variable: atim_menu_variables in [APP/views/layouts/default.ctp, line 13]
2009-03-24 10:55:24 Notice: Notice (8): Undefined variable: forms in [APP/plugins/administrate/views/banks/edit.ctp, line 7]
2009-03-24 10:55:37 Notice: Notice (8): Undefined variable: form_lang in [APP/plugins/administrate/views/banks/edit.ctp, line 7]
2009-03-24 10:55:37 Notice: Notice (8): Undefined offset:  0 in [APP/views/helpers/structures.php, line 1602]
2009-03-24 10:55:37 Notice: Notice (8): Undefined offset:  0 in [APP/views/helpers/structures.php, line 1762]
2009-03-24 10:55:49 Notice: Notice (8): Undefined offset:  0 in [APP/views/helpers/structures.php, line 1602]
2009-03-24 10:55:49 Notice: Notice (8): Undefined offset:  0 in [APP/views/helpers/structures.php, line 1762]
2009-03-24 10:59:09 Notice: Notice (8): Undefined offset:  0 in [APP/views/helpers/structures.php, line 1762]
2009-03-24 16:28:30 Notice: Notice (8): Undefined index:  StructureFormat in [APP/views/helpers/structures.php, line 143]
2009-03-24 16:28:30 Notice: Notice (8): Undefined index:  Structure in [APP/views/helpers/structures.php, line 3022]
2009-03-24 16:28:30 Notice: Notice (8): Undefined index:  Structure in [APP/views/helpers/structures.php, line 3035]
2009-03-24 16:28:30 Notice: Notice (8): Undefined index:  StructureFormat in [APP/views/helpers/structures.php, line 1948]
2009-03-24 16:28:47 Notice: Notice (8): Undefined index:  StructureFormat in [APP/views/helpers/structures.php, line 1946]
2009-03-24 16:28:49 Notice: Notice (8): Undefined index:  StructureFormat in [APP/views/helpers/structures.php, line 1946]
2009-03-24 16:30:00 Notice: Notice (8): Undefined index:  StructureFormat in [APP/views/helpers/structures.php, line 1946]
2009-03-24 16:30:20 Notice: Notice (8): Undefined index:  StructureFormat in [APP/views/helpers/structures.php, line 1946]
2009-03-24 16:31:39 Notice: Notice (8): Undefined index:  StructureFormat in [APP/views/helpers/structures.php, line 1946]
2009-03-24 16:32:14 Notice: Notice (8): Undefined index:  StructureFormat in [APP/views/helpers/structures.php, line 1946]
2009-03-24 16:32:17 Notice: Notice (8): Undefined index:  StructureFormat in [APP/views/helpers/structures.php, line 1946]
2009-03-24 16:38:53 Notice: Notice (8): Undefined index:  StructureFormat in [APP/views/helpers/structures.php, line 1946]
2009-03-24 17:11:34 Notice: Notice (8): Undefined variable: atim_structure in [APP/views/helpers/structures.php, line 11]
2009-03-25 10:30:00 Notice: Notice (8): Undefined index:  StructureFormat in [APP/views/helpers/structures.php, line 303]
2009-03-25 10:30:00 Notice: Notice (8): Undefined variable: links in [APP/views/helpers/structures.php, line 56]
2009-03-25 10:30:00 Notice: Notice (8): Undefined variable: form_settings in [APP/views/helpers/structures.php, line 82]
2009-03-25 10:30:00 Notice: Notice (8): Undefined variable: form in [APP/views/helpers/structures.php, line 82]
2009-03-25 10:30:00 Notice: Notice (8): Undefined variable: links in [APP/views/helpers/structures.php, line 82]
2009-03-25 10:30:00 Notice: Notice (8): Undefined variable: lang in [APP/views/helpers/structures.php, line 82]
2009-03-25 10:30:00 Notice: Notice (8): Undefined variable: override in [APP/views/helpers/structures.php, line 82]
2009-03-25 10:30:00 Notice: Notice (8): Undefined variable: extras in [APP/views/helpers/structures.php, line 82]
2009-03-25 10:30:00 Notice: Notice (8): Undefined variable: links in [APP/views/helpers/structures.php, line 96]
2009-03-25 10:30:00 Notice: Notice (8): Undefined variable: lang in [APP/views/helpers/structures.php, line 96]
2009-03-25 10:30:01 Notice: Notice (8): Undefined offset:  1 in [APP/views/helpers/structures.php, line 94]
2009-03-25 10:30:01 Notice: Notice (8): Undefined offset:  1 in [APP/views/helpers/structures.php, line 96]
2009-03-25 10:30:01 Notice: Notice (8): Undefined offset:  2 in [APP/views/helpers/structures.php, line 94]
2009-03-25 10:30:01 Notice: Notice (8): Undefined offset:  2 in [APP/views/helpers/structures.php, line 96]
2009-03-25 10:30:01 Notice: Notice (8): Undefined offset:  3 in [APP/views/helpers/structures.php, line 94]
2009-03-25 10:30:01 Notice: Notice (8): Undefined offset:  3 in [APP/views/helpers/structures.php, line 96]
2009-03-25 10:30:01 Notice: Notice (8): Undefined offset:  4 in [APP/views/helpers/structures.php, line 94]
2009-03-25 10:30:01 Notice: Notice (8): Undefined offset:  4 in [APP/views/helpers/structures.php, line 96]
2009-03-25 11:21:57 Notice: Notice (8): Undefined index:  StructureFormat in [APP/views/helpers/structures.php, line 304]
2009-03-25 13:33:35 Notice: Notice (8): Undefined variable: type in [APP/views/helpers/structures.php, line 301]
2009-03-25 13:33:35 Notice: Notice (8): Undefined variable: type in [APP/views/helpers/structures.php, line 303]
2009-03-25 13:33:35 Notice: Notice (8): Undefined variable: type in [APP/views/helpers/structures.php, line 306]
2009-03-25 13:33:35 Notice: Notice (8): Undefined variable: form_settings in [APP/views/helpers/structures.php, line 312]
2009-03-25 13:33:35 Notice: Notice (8): Undefined variable: type in [APP/views/helpers/structures.php, line 312]
2009-03-25 13:33:35 Notice: Notice (8): Undefined index:  flag_ in [APP/views/helpers/structures.php, line 312]
2009-03-25 13:33:37 Notice: Notice (8): Undefined variable: type in [APP/views/helpers/structures.php, line 301]
2009-03-25 13:33:37 Notice: Notice (8): Undefined variable: type in [APP/views/helpers/structures.php, line 303]
2009-03-25 13:33:37 Notice: Notice (8): Undefined variable: type in [APP/views/helpers/structures.php, line 306]
2009-03-25 13:33:37 Notice: Notice (8): Undefined variable: form_settings in [APP/views/helpers/structures.php, line 312]
2009-03-25 13:33:37 Notice: Notice (8): Undefined variable: type in [APP/views/helpers/structures.php, line 312]
2009-03-25 13:33:37 Notice: Notice (8): Undefined index:  flag_ in [APP/views/helpers/structures.php, line 312]
2009-03-25 13:34:33 Notice: Notice (8): Undefined variable: form_settings in [APP/views/helpers/structures.php, line 314]
2009-03-25 13:38:30 Notice: Notice (8): Undefined variable: display_tag in [APP/views/helpers/structures.php, line 1014]
2009-03-25 13:39:01 Notice: Notice (8): Undefined variable: display_tag in [APP/views/helpers/structures.php, line 1014]
2009-03-25 13:39:03 Notice: Notice (8): Undefined variable: display_tag in [APP/views/helpers/structures.php, line 1014]
2009-03-25 13:39:04 Notice: Notice (8): Undefined variable: display_tag in [APP/views/helpers/structures.php, line 1014]
2009-03-25 14:00:50 Notice: Notice (8): Undefined index:  flag_index_readonly in [APP/views/helpers/structures.php, line 603]
2009-03-25 14:00:50 Notice: Notice (8): Undefined variable: display_tag in [APP/views/helpers/structures.php, line 1007]
2009-03-25 14:00:50 Notice: Notice (8): Undefined index:  flag_index_readonly in [APP/views/helpers/structures.php, line 638]
2009-03-25 14:03:08 Notice: Notice (8): Undefined index:  flag_index_readonly in [APP/views/helpers/structures.php, line 603]
2009-03-25 14:03:08 Notice: Notice (8): Undefined index:  flag_index_readonly in [APP/views/helpers/structures.php, line 638]
2009-03-25 14:04:04 Notice: Notice (8): Undefined index:  flag_index_readonly in [APP/views/helpers/structures.php, line 603]
2009-03-25 14:04:04 Notice: Notice (8): Undefined index:  flag_index_readonly in [APP/views/helpers/structures.php, line 638]
2009-03-25 14:55:08 Notice: Notice (8): Undefined index:  flag_index_readonly in [APP/views/helpers/structures.php, line 605]
2009-03-25 14:55:08 Notice: Notice (8): Undefined index:  flag_index_readonly in [APP/views/helpers/structures.php, line 640]
2009-03-25 14:55:08 Notice: Notice (8): Undefined variable: links in [APP/views/helpers/structures.php, line 57]
2009-03-25 14:55:08 Notice: Notice (8): Undefined variable: form in [APP/views/helpers/structures.php, line 83]
2009-03-25 14:55:08 Notice: Notice (8): Undefined variable: links in [APP/views/helpers/structures.php, line 83]
2009-03-25 14:55:08 Notice: Notice (8): Undefined variable: lang in [APP/views/helpers/structures.php, line 83]
2009-03-25 14:55:08 Notice: Notice (8): Undefined variable: override in [APP/views/helpers/structures.php, line 83]
2009-03-25 14:55:08 Notice: Notice (8): Undefined variable: extras in [APP/views/helpers/structures.php, line 83]
2009-03-25 14:55:08 Notice: Notice (8): Undefined variable: links in [APP/views/helpers/structures.php, line 97]
2009-03-25 14:55:08 Notice: Notice (8): Undefined variable: lang in [APP/views/helpers/structures.php, line 97]
2009-03-25 14:55:19 Notice: Notice (8): Undefined index:  flag_index_readonly in [APP/views/helpers/structures.php, line 605]
2009-03-25 14:55:19 Notice: Notice (8): Undefined index:  flag_index_readonly in [APP/views/helpers/structures.php, line 640]
2009-03-25 14:59:51 Notice: Notice (8): Undefined index:  flag_index_readonly in [APP/views/helpers/structures.php, line 605]
2009-03-25 14:59:51 Notice: Notice (8): Undefined index:  flag_index_readonly in [APP/views/helpers/structures.php, line 640]
2009-03-25 15:16:30 Notice: Notice (8): Undefined index:  flag_index_readonly in [APP/views/helpers/structures.php, line 572]
2009-03-25 15:24:47 Notice: Notice (8): Undefined index:  flag_index_readonly in [APP/views/helpers/structures.php, line 572]
2009-03-25 16:33:12 Notice: Notice (8): Undefined variable: links in [APP/views/helpers/structures.php, line 57]
2009-03-25 16:33:12 Notice: Notice (8): Undefined variable: form in [APP/views/helpers/structures.php, line 83]
2009-03-25 16:33:12 Notice: Notice (8): Undefined variable: links in [APP/views/helpers/structures.php, line 83]
2009-03-25 16:33:12 Notice: Notice (8): Undefined variable: lang in [APP/views/helpers/structures.php, line 83]
2009-03-25 16:33:12 Notice: Notice (8): Undefined variable: override in [APP/views/helpers/structures.php, line 83]
2009-03-25 16:33:12 Notice: Notice (8): Undefined variable: extras in [APP/views/helpers/structures.php, line 83]
2009-03-25 16:33:12 Notice: Notice (8): Undefined variable: links in [APP/views/helpers/structures.php, line 97]
2009-03-25 16:33:12 Notice: Notice (8): Undefined variable: lang in [APP/views/helpers/structures.php, line 97]
2009-03-25 16:33:17 Notice: Notice (8): Undefined variable: links in [APP/views/helpers/structures.php, line 56]
2009-03-25 16:33:17 Notice: Notice (8): Undefined variable: form in [APP/views/helpers/structures.php, line 82]
2009-03-25 16:33:18 Notice: Notice (8): Undefined variable: links in [APP/views/helpers/structures.php, line 82]
2009-03-25 16:33:18 Notice: Notice (8): Undefined variable: lang in [APP/views/helpers/structures.php, line 82]
2009-03-25 16:33:18 Notice: Notice (8): Undefined variable: override in [APP/views/helpers/structures.php, line 82]
2009-03-25 16:33:18 Notice: Notice (8): Undefined variable: extras in [APP/views/helpers/structures.php, line 82]
2009-03-25 16:33:18 Notice: Notice (8): Undefined variable: links in [APP/views/helpers/structures.php, line 96]
2009-03-25 16:33:18 Notice: Notice (8): Undefined variable: lang in [APP/views/helpers/structures.php, line 96]
2009-03-25 16:49:01 Notice: Notice (8): Undefined index:  flag_ in [APP/views/helpers/structures.php, line 308]
2009-03-25 16:49:01 Notice: Notice (8): Undefined variable: links in [APP/views/helpers/structures.php, line 58]
2009-03-25 16:49:01 Notice: Notice (8): Undefined variable: links in [APP/views/helpers/structures.php, line 99]
2009-03-25 16:49:01 Notice: Notice (8): Undefined variable: lang in [APP/views/helpers/structures.php, line 99]
2009-03-25 16:50:37 Notice: Notice (8): Undefined index:  flag_ in [APP/views/helpers/structures.php, line 307]
2009-03-25 16:50:37 Notice: Notice (8): Undefined variable: links in [APP/views/helpers/structures.php, line 58]
2009-03-25 16:50:37 Notice: Notice (8): Undefined variable: links in [APP/views/helpers/structures.php, line 98]
2009-03-25 16:50:37 Notice: Notice (8): Undefined variable: lang in [APP/views/helpers/structures.php, line 98]
2009-03-25 16:52:31 Notice: Notice (8): Undefined index:  flag_ in [APP/views/helpers/structures.php, line 307]
2009-03-25 16:52:31 Notice: Notice (8): Undefined variable: links in [APP/views/helpers/structures.php, line 58]
2009-03-25 16:52:31 Notice: Notice (8): Undefined variable: links in [APP/views/helpers/structures.php, line 98]
2009-03-25 16:52:31 Notice: Notice (8): Undefined variable: lang in [APP/views/helpers/structures.php, line 98]
2009-03-25 16:53:43 Notice: Notice (8): Undefined index:  flag_ in [APP/views/helpers/structures.php, line 307]
2009-03-25 16:53:43 Notice: Notice (8): Undefined variable: links in [APP/views/helpers/structures.php, line 58]
2009-03-25 16:53:43 Notice: Notice (8): Undefined variable: links in [APP/views/helpers/structures.php, line 98]
2009-03-25 16:53:43 Notice: Notice (8): Undefined variable: lang in [APP/views/helpers/structures.php, line 98]
2009-03-25 16:53:59 Notice: Notice (8): Undefined index:  flag_ in [APP/views/helpers/structures.php, line 309]
2009-03-25 16:53:59 Notice: Notice (8): Undefined variable: links in [APP/views/helpers/structures.php, line 58]
2009-03-25 16:54:08 Notice: Notice (8): Undefined index:  flag_ in [APP/views/helpers/structures.php, line 309]
2009-03-25 16:54:08 Notice: Notice (8): Undefined variable: links in [APP/views/helpers/structures.php, line 58]
2009-03-25 16:56:00 Notice: Notice (8): Undefined index:  flag_ in [APP/views/helpers/structures.php, line 307]
2009-03-25 16:56:00 Notice: Notice (8): Undefined variable: links in [APP/views/helpers/structures.php, line 58]
2009-03-25 16:56:00 Notice: Notice (8): Undefined variable: links in [APP/views/helpers/structures.php, line 98]
2009-03-25 16:56:00 Notice: Notice (8): Undefined variable: lang in [APP/views/helpers/structures.php, line 98]
2009-03-25 16:56:18 Notice: Notice (8): Undefined variable: links in [APP/views/helpers/structures.php, line 58]
2009-03-25 16:56:18 Notice: Notice (8): Undefined variable: links in [APP/views/helpers/structures.php, line 98]
2009-03-25 16:56:18 Notice: Notice (8): Undefined variable: lang in [APP/views/helpers/structures.php, line 98]
2009-03-26 10:49:20 Notice: Notice (8): Undefined variable: atim_menu in [APP/views/layouts/default.ctp, line 13]
2009-03-26 10:49:20 Notice: Notice (8): Undefined variable: atim_menu_variables in [APP/views/layouts/default.ctp, line 13]
2009-03-26 11:10:16 Notice: Notice (8): Undefined variable: links in [APP/views/helpers/structures.php, line 61]
2009-03-26 11:10:16 Notice: Notice (8): Undefined index:  type in [APP/views/helpers/structures.php, line 186]
2009-03-26 11:10:16 Notice: Notice (8): Undefined index:  field in [APP/views/helpers/structures.php, line 189]
2009-03-26 11:10:16 Notice: Notice (8): Undefined index:  label in [APP/views/helpers/structures.php, line 194]
2009-03-26 11:10:16 Notice: Notice (8): Undefined variable: links in [APP/views/helpers/structures.php, line 99]
2009-03-26 11:10:16 Notice: Notice (8): Undefined variable: lang in [APP/views/helpers/structures.php, line 99]
2009-03-26 11:10:16 Notice: Notice (8): Undefined offset:  1 in [APP/views/helpers/structures.php, line 97]
2009-03-26 11:10:16 Notice: Notice (8): Undefined offset:  1 in [APP/views/helpers/structures.php, line 99]
2009-03-26 11:10:16 Notice: Notice (8): Undefined offset:  2 in [APP/views/helpers/structures.php, line 97]
